2025-07-19 17:07:39 | INFO | Scanning for CSV files in: data\raw\ttc-subway-delay-data
2025-07-19 17:07:39 | INFO | CSV Files Found in Input Directory:
2025-07-19 17:07:39 | INFO | - Code Descriptions.csv.csv
2025-07-19 17:07:39 | INFO | - Code Descriptions.json.csv
2025-07-19 17:07:39 | INFO | - Code Descriptions.xml.csv
2025-07-19 17:07:39 | INFO | - TTC Subway Delay Data since 2025.csv.csv
2025-07-19 17:07:39 | INFO | - TTC Subway Delay Data since 2025.json.csv
2025-07-19 17:07:39 | INFO | - TTC Subway Delay Data since 2025.xml.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-codes.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-data-2018.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-data-2019.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-data-2020.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-data-2021.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-data-2022.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-data-2023.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-data-2024.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-data-readme.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-jan-2014-april-2017.csv
2025-07-19 17:07:39 | INFO | - ttc-subway-delay-may-december-2017.csv
2025-07-19 17:07:39 | INFO | Cleaned and saved: data\processed\ttc-subway-delay-data\Code Descriptions.csv.csv [encoding=utf-8]
2025-07-19 17:07:40 | INFO | Cleaned and saved: data\processed\ttc-subway-delay-data\Code Descriptions.json.csv [encoding=utf-8]
2025-07-19 17:07:40 | INFO | Cleaned and saved: data\processed\ttc-subway-delay-data\Code Descriptions.xml.csv [encoding=utf-8]
2025-07-19 17:07:40 | INFO | Cleaned and saved: data\processed\ttc-subway-delay-data\TTC Subway Delay Data since 2025.csv.csv [encoding=utf-8]
2025-07-19 17:32:49 | INFO | Cleaned and saved: data\processed\ttc-subway-delay-data\TTC Subway Delay Data since 2025.json.csv [encoding=utf-8]
2025-07-19 17:32:50 | INFO | Cleaned and saved: data\processed\ttc-subway-delay-data\TTC Subway Delay Data since 2025.xml.csv [encoding=utf-8]
2025-07-19 17:32:50 | ERROR | Failed to process ttc-subway-delay-codes.csv: Error tokenizing data. C error: Expected 2 fields in line 5, saw 3

2025-07-19 17:32:50 | ERROR | Failed to process ttc-subway-delay-data-2018.csv: Error tokenizing data. C error: Expected 1 fields in line 3, saw 3

2025-07-19 17:32:50 | ERROR | Failed to process ttc-subway-delay-data-2019.csv: Error tokenizing data. C error: Expected 1 fields in line 3, saw 3

2025-07-19 17:32:50 | ERROR | Failed to process ttc-subway-delay-data-2020.csv: Error tokenizing data. C error: Expected 1 fields in line 3, saw 3

2025-07-19 17:32:50 | ERROR | Failed to process ttc-subway-delay-data-2021.csv: Error tokenizing data. C error: Expected 1 fields in line 3, saw 3

2025-07-19 17:32:50 | ERROR | Failed to process ttc-subway-delay-data-2022.csv: Error tokenizing data. C error: Expected 2 fields in line 3, saw 3

2025-07-19 17:32:50 | ERROR | Failed to process ttc-subway-delay-data-2023.csv: Error tokenizing data. C error: Expected 2 fields in line 12, saw 4

